T1,T2,T3,T4,T5,T6,H1,H2,H3,L1,L2
1.365,1.365,1.365,1.375,1.375,1.37,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.36,1.36,1.36,1.36,1.365,20.1875,20.1875,20.1875,95.5625,95.5625
1.365,1.365,1.365,1.365,1.375,1.365,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.37,1.375,1.375,1.3625,20.1875,20.1875,20.1875,95.5625,95.5625
1.365,1.365,1.365,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.36,1.36,1.36,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.365,1.365,1.365,1.365,1.365,1.365,20.1875,20.1875,20.1875,95.5625,95.5625
1.355,1.355,1.355,1.365,1.37,1.37,20.1875,20.1875,20.1875,95.5625,95.5625
1.365,1.36,1.355,1.37,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.365,1.37,1.37,1.35,1.35,1.35,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.355,1.36,1.36,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.355,1.36,1.355,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.36,1.365,1.36,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.36,1.36,1.375,1.375,1.36,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.37,1.37,1.37,1.37,1.37,1.37,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.37,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.37,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.37,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.355,1.355,1.35,1.35,1.345,20.1875,20.1875,20.1875,95.5625,95.5625
1.36,1.36,1.36,1.37,1.37,1.37,20.1875,20.1875,20.1875,95.5625,95.5625
1.355,1.36,1.355,1.36,1.36,1.36,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.375,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.35,1.35,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.35,1.36,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
1.375,1.35,1.375,1.375,1.375,1.375,20.1875,20.1875,20.1875,95.5625,95.5625
